I: 3031323334353637 0000000000000000
FFFFFFFF F800000F 11111111111111111111111111111111 11111000000000000000000000001111
FFFFFFFE F800001F 11111111111111111111111111111110 11111000000000000000000000011111
FFFFFFFC F800003F 11111111111111111111111111111100 11111000000000000000000000111111
FFFFFFF8 F800007F 11111111111111111111111111111000 11111000000000000000000001111111
FFFFFFF0 F80000FF 11111111111111111111111111110000 11111000000000000000000011111111
FFFFFFE0 F80001FF 11111111111111111111111111100000 11111000000000000000000111111111
FFFFFFC0 F80003FE 11111111111111111111111111000000 11111000000000000000001111111110
FFFFFF80 F80007FC 11111111111111111111111110000000 11111000000000000000011111111100
FFFFFF00 F8000FF8 11111111111111111111111100000000 11111000000000000000111111111000
FFFFFE00 F8001FF0 11111111111111111111111000000000 11111000000000000001111111110000
FFFFFC00 F8003FE0 11111111111111111111110000000000 11111000000000000011111111100000
FFFFF800 F8007FC0 11111111111111111111100000000000 11111000000000000111111111000000
FFFFF000 F800FF80 11111111111111111111000000000000 11111000000000001111111110000000
FFFFE000 F801FF00 11111111111111111110000000000000 11111000000000011111111100000000
FFFFC000 F803FE00 11111111111111111100000000000000 11111000000000111111111000000000
FFFF8000 F807FC00 11111111111111111000000000000000 11111000000001111111110000000000
FFFF0000 F80FF800 11111111111111110000000000000000 11111000000011111111100000000000
FFFE0000 F81FF000 11111111111111100000000000000000 11111000000111111111000000000000
FFFC0000 F83FE000 11111111111111000000000000000000 11111000001111111110000000000000
FFF80000 F87FC000 11111111111110000000000000000000 11111000011111111100000000000000
FFF00000 F8FF8000 11111111111100000000000000000000 11111000111111111000000000000000
FFE00000 F9FF0000 11111111111000000000000000000000 11111001111111110000000000000000
FFC00000 FBFE0000 11111111110000000000000000000000 11111011111111100000000000000000
FF800000 FFFC0000 11111111100000000000000000000000 11111111111111000000000000000000
FF000000 F7F80000 11111111000000000000000000000000 11110111111110000000000000000000
FE000000 E7F00000 11111110000000000000000000000000 11100111111100000000000000000000
FC000000 C7E00000 11111100000000000000000000000000 11000111111000000000000000000000
F8000000 87C00000 11111000000000000000000000000000 10000111110000000000000000000000
F0000000 07800000 11110000000000000000000000000000 00000111100000000000000000000000
E0000000 07000000 11100000000000000000000000000000 00000111000000000000000000000000
C0000000 06000000 11000000000000000000000000000000 00000110000000000000000000000000
80000000 04000000 10000000000000000000000000000000 00000100000000000000000000000000
R: 2E27C7F0A11B3F74 9A216A00EAB8698F
V: 25678129756BE4D4 E17C9F3426E81D33
